SnowflakeID,SystemName,ShortName,Unknown,GameFAQs,GameFAQs_URL,MobyGames,TheGamesDB,GiantBomb
3do,3DO,3DO,18,15,3do,35,3DO,26
aa,Acorn Archimedes,,,1058,arch,,,
am,Action Max,,70000,,,,,
av,Adventure Vision,AVIS,26551,1042,avision,,,93
cpc,Amstrad CPC,CPC,18832,1035,cpc,60,,11
android,Android,,,1061,android,91,,
apf,APF-*1000/IM,,,1020,apf1000,,,
apl2,Apple II,APL2,6,25,appleii,31,,12
apl2gs,Apple IIgs,A2GS,,,,51,,38
mame,Arcade,ARC,1,26,arcade,,Arcade,84
arcadia,Arcadia,,,,,,,
arcadia2001,Arcadia 2001,A2K1,17661,27,a2k1,,,99
astrocad,Astrocade,,,1021,astrocade,,,
a2600,Atari 2600,2600,,28,atari2600,28,Atari 2600,40
a5200,Atari 5200,5200,12,29,atari5200,33,Atari 5200,67
a7200,Atari 7800,7800,42,30,atari7800,34,Atari 7800,70
atari8,Atari 8-bit,A800,28,31,atari8bit,39,,24
jag,Atari Jaguar,JAG,14,17,jaguar,17,Atari Jaguar,28
jagcd,Atari Jaguar CD,,25725,1004,jaguarcd,,Atari Jaguar CD,
lynx,Atari Lynx,LYNX,13,40,lynx,18,,7
ast,Atari ST,AST,17658,1034,ast,24,,13
axe,Atari XE,,,,,,Atari XE,
bally,Bally Professionnal Arcade,,17659,,,,,
pippin,Bandai Pippin,PIPN,52333,1052,pippin,,,102
bbcm,BBC Micro,BBCM,,1053,bbc,92,,110
bbsd,BBS Door,,,32,bbs,,,
bluray,BD Video,,52178,,,,,
bb,BlackBerry,,,1063,blackberry,90,,
brew,BREW,,,,,63,,
loopy,Casio Loopy,,,1060,loopy,,,
evc,Cassette Vision,,,1056,ecv,,,
fcf,Channel F,CHNF,,34,channelf,76,,66
colecov,ColecoVision,CVIS,15,35,colecovision,29,Colecovision,47
c128,Commodore 128,C128,8,,,61,,58
c64,Commodore 64,C64,8,36,c64,27,Commodore 64,14
amiga,Commodore Amiga,AMI,10,24,amiga,19,Amiga,1
